ASN,AS_Name,Organization_Name,Country,RIR,Ranking_Score
112,ROOTSERV,DNS-OARC,US,ARIN,41.940298507462686
2535,BP,"BP America, Inc.",US,ARIN,40.26119402985075
2906,AS-SSI,Netflix Streaming Services Inc.,US,ARIN,39.96268656716418
2484,NIC-FR-DNS-ANYCAST-AFNIC,AFNIC (Association Francaise pour le Nommage Internet en Cooperation),FR,RIPE,39.66417910447761
1294,NTTDATA-SERVICES-AS1,NTT DATA Services Holdings Corporation,US,ARIN,39.14179104477612
1678,DOW,The Dow Chemical Company,US,ARIN,39.02985074626866
1,LVLT-1,"Level 3 Parent, LLC",US,ARIN,38.43283582089552
5,SYMBOLICS,WFA Group LLC,US,ARIN,38.09701492537314
42,WOODYNET-1,WoodyNet,US,ARIN,37.723880597014926
2159,HPES,Hewlett-Packard Company,US,ARIN,37.723880597014926
1766,ASN-EXXONMOBIL-US,Exxon Mobil Corporation,US,ARIN,37.3134328358209
1115,,Austrian Academy of Sciences,AT,RIPE,37.12686567164179
21,RAND,The RAND Corporation,US,ARIN,37.014925373134325
1921,NICAT,nic.at GmbH,AT,RIPE,37.014925373134325
1621,ASN-SECURIAN,"Securian Financial Group, Inc.",US,ARIN,36.90298507462686
1149,SURFNET-AS,SURF B.V.,NL,RIPE,36.865671641791046
2134,GSVNET-AS,"Santander Global Technology, S.L.U",ES,RIPE,36.75373134328358
823,UWO-AS,University of Western Ontario,CA,ARIN,36.64179104477612
2635,AUTOMATTIC,"Automattic, Inc",US,ARIN,36.52985074626866
3573,ACCENTURE,Accenture LLP,US,ARIN,36.492537313432834
3132,,Red Cientifica Peruana,PE,LACNIC,36.23134328358209
1204,SUNYNET-ASN-AS,"State University of New York, Central",US,ARIN,36.156716417910445
3557,ISC-AS,"Internet Systems Consortium, Inc.",US,ARIN,36.082089552238806
100,FMC-CTC,FMC Central Engineering Laboratories,US,ARIN,36.04477611940298
1421,WANSECURITY,"WANSecurity, Inc.",US,ARIN,36.04477611940298
2631,DISCOVERY-AS,Discovery Communications,US,ARIN,35.97014925373134
1850,ISNIC,Internet a Islandi hf,IS,RIPE,35.8955223880597
1399,T2-CT-CN,"ThinkTech, Inc",US,ARIN,35.74626865671642
1321,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,ARIN,35.59701492537314
1821,NETWORKINV-AS1,Network Innovations Inc.,US,ARIN,35.52238805970149
151,IND-NTC-AS,Hewlett-Packard Company,US,ARIN,35.485074626865675
2830,MCI-dual-homed-customers,Verizon Nederland B.V.,NL,RIPE,35.485074626865675
1836,GREEN,green.ch AG,CH,RIPE,35.41044776119403
72,SCHLUMBERGER-AS,Schlumberger Limited,US,ARIN,35.33582089552239
2860,NOS_COMUNICACOES,"NOS COMUNICACOES, S.A.",PT,RIPE,35.11194029850746
2708,,Universidad de Guanajuato,MX,LACNIC,35.11194029850746
1618,NETWORKS-1,"Daytona Net Works, Inc.",US,ARIN,34.776119402985074
2593,ASN-VSIX,Universita di Padova,IT,RIPE,34.73880597014925
2895,FREE-NET-AS,OOO FREEnet Group,RU,RIPE,34.73880597014925
2020,ADHESIVE-ASN,"Adhesives Research, Inc.",US,ARIN,34.701492537313435
3,MIT-GATEWAYS,Massachusetts Institute of Technology,US,ARIN,34.701492537313435
3214,XTOM,xTom GmbH,DE,RIPE,34.66417910447761
2,UDEL-DCN,University of Delaware,US,ARIN,34.66417910447761
2129,HP-EUROPE-AS-TRADE,EntServ UK Limited,GB,RIPE,34.66417910447761
200,CENTURYLINK-LEGACY-LVLT-200,"Level 3 Parent, LLC",US,ARIN,34.62686567164179
1358,HNSNET-AS,"Hughes Network Systems, Inc.",US,ARIN,34.62686567164179
1508,DNIC-AS-01508,"Headquarters, USAISC",US,ARIN,34.514925373134325
2688,ATGS-MMD-AS,"AT&T Global Network Services, LLC",US,ARIN,34.40298507462686
3194,SatGate-Iraq,SatGate Company for Trading of Computers Systems and Communications Appliances WLL,IQ,RIPE,34.365671641791046
2166,HPES,Hewlett-Packard Company,US,ARIN,34.365671641791046
278,,Universidad Nacional Autonoma de Mexico,MX,LACNIC,34.365671641791046
714,APPLE-ENGINEERING,Apple Inc.,US,ARIN,34.32835820895522
1443,SUPERCOOPER01,"CooperVision, Inc.",US,ARIN,34.32835820895522
8,RICE-AS,Rice University,US,ARIN,34.25373134328358
1907,IPSERV-AS,"Single Source Network Systems, Inc.",US,ARIN,34.21641791044776
10,CSNET-EXT-AS,CSNET Coordination and Information Center (CSNET-CIC),US,ARIN,34.17910447761194
206,CSC-IGN-AMER,Computer Sciences Corporation,US,ARIN,34.17910447761194
2015,MSEN-SYSTEM,"Msen, Inc.",US,ARIN,34.14179104477612
715,WOODYNET-2,WoodyNet,US,ARIN,33.95522388059702
834,IPXO,IPXO LLC,US,ARIN,33.88059701492537
2047,ASN-ROCHE-BASLE,Hoffmann - La Roche Ltd.,CH,RIPE,33.843283582089555
1734,ROP-COCA-AS01,Contra Costa County Regional Occupation Program / Richmond,US,ARIN,33.80597014925373
3361,DF-TUKWILA01,"Digital Fortress, Inc.",US,ARIN,33.76865671641791
1754,DESY-HAMBURG,Deutsches Elektronen-Synchrotron DESY,DE,RIPE,33.73134328358209
187,DNSCAST-AS,DNScast,US,ARIN,33.69402985074627
1547,IDK-Network,"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom""",MD,RIPE,33.582089552238806
1414,ASN1,Genuine Parts Company,US,ARIN,33.54477611940298
2532,LOC,Library of Congress,US,ARIN,33.507462686567166
4,ISI-AS,University of Southern California,US,ARIN,33.507462686567166
676,,United Nations Development Programme,AR,LACNIC,33.507462686567166
109,CISCOSYSTEMS,"Cisco Systems, Inc.",US,ARIN,33.47014925373134
1286,IVAS01,Altay Corporation,US,ARIN,33.3955223880597
3185,PAYLOGIC,See Tickets Holding B.V.,NL,RIPE,33.32089552238806
1347,VOYANT-LAB,"Inteliquent, inc.",US,ARIN,33.28358208955224
1975,PROQUEST-AS,PROQUEST LLC,US,ARIN,33.24626865671642
3202,ASDIGITALSCREENS,TOV Digital Screens,UA,RIPE,33.208955223880594
271,BCNET-AS,BCnet,CA,ARIN,33.17164179104478
3066,RS-AS,Robert E. Seastrom,US,ARIN,33.134328358208954
2578,DEMOS-AS,"Demos, Moscow, Russia",EU,RIPE,33.059701492537314
1819,DCM-CABLE,DCM Cable Inc.,US,ARIN,33.059701492537314
2904,,Universidad Autonoma De Ciudad Juarez,MX,LACNIC,33.02238805970149
1831,,"ITESO, A.C.",MX,LACNIC,32.985074626865675
1930,RCCN,"Fundacao para a Ciencia e a Tecnologia, I.P.",PT,RIPE,32.91044776119403
300,DNIC-AS-00300,DoD Network Information Center,US,ARIN,32.87313432835821
400,AFCONC-BLOCK1-AS,Air Force Systems Networking,US,ARIN,32.87313432835821
3164,ASTIMP-IT,Astimp IT Solution SRL,RO,RIPE,32.798507462686565
3176,BDL,Banque Du Liban,LB,RIPE,32.76119402985075
3204,XTOM-EE,xTom OU,EE,RIPE,32.76119402985075
2592,EGE-AS,Ege University,TR,RIPE,32.61194029850746
3073,CITI7,Citicorp,US,ARIN,32.57462686567164
1258,XKL-NET-AS,"XKL, LLC",US,ARIN,32.53731343283582
2546,ARIADNE-T,National Center of Scientific Research DEMOKRITOS,GR,RIPE,32.53731343283582
1967,METU-NET,Middle East Technical University / Orta Dogu Teknik Universitesi,EU,RIPE,32.46268656716418
2539,GLAXOSMITHKLINE,GlaxoSmithKline,US,ARIN,32.42537313432836
3178,WideTelecom-AS,FastLine For Communication And Information Technology Ltd,IQ,RIPE,32.38805970149254
3179,AKVALIS-AS,Akvalis Ltd.,RU,RIPE,32.350746268656714
3280,LAYERBRIDGE-AS,LayerBridge SRL,RO,RIPE,32.3134328358209
2571,DHLNET,DHL Information Services (Europe) s.r.o,CZ,ARIN,32.16417910447761
3738,SSB-ASN,State Street Bank and Trust Company,US,ARIN,32.08955223880597
1848,AS1848,National Aeronautics and Space Administration,US,ARIN,32.08955223880597
77,JHUAPL-AS,Johns Hopkins University Applied Physics Laboratory,US,ARIN,31.940298507462686
2300,Orange-IPX,Orange S.A.,FR,RIPE,31.940298507462686
267,NETHER-NET,Nether.Net,US,ARIN,31.865671641791046
1612,FLUXTEL,"Flux Telecom, LLC",US,ARIN,31.865671641791046
2587,FREE-NET-AS2587,OOO FREEnet Group,RU,RIPE,31.865671641791046
3141,,Benemerita Universidad Autonoma de Puebla,MX,LACNIC,31.865671641791046
2559,VISANET,VISA INTERNATIONAL SERVICE ASSOCIATION,US,ARIN,31.71641791044776
1897,EUNETPT,"NOS COMUNICACOES, S.A.",PT,RIPE,31.67910447761194
125,HI-NET-AS,"Honeywell International, Inc.",US,ARIN,31.64179104477612
3187,BNPPF-AS,BNP Paribas Personal Finance EAD,BG,RIPE,31.604477611940297
70,NLM-GW,National Library of Medicine,US,ARIN,31.567164179104477
268,USUHSNET-AS,Uniformed Services University of the Health Sciences,US,ARIN,31.567164179104477
27,UMDNET,University of Maryland,US,ARIN,31.492537313432837
812,ROGERS-COMMUNICATIONS,Rogers Communications Canada Inc.,CA,ARIN,31.380597014925375
3614,DELL-BLK,"Dell, Inc.",US,ARIN,31.23134328358209
3188,alastyr,Alastyr Telekomunikasyon A.S.,TR,RIPE,31.15671641791045
1280,ISC-AS-1280,"Internet Systems Consortium, Inc.",US,ARIN,31.119402985074625
2471,FR-DOM-GUADELOUPE,Renater,EU,RIPE,31.082089552238806
2687,ATGS-MMD-AS,"AT&T Global Network Services, LLC",US,ARIN,31.082089552238806
2386,INS-AS,AT&T Data Communications Services,US,ARIN,31.044776119402986
2648,NOAA-BOULDER,National Oceanic and Atmospheric Administration,US,ARIN,31.044776119402986
3295,,Societe Generale S.A.,FR,RIPE,31.007462686567163
1215,ORACLE-NA-AS,Oracle Corporation,US,ARIN,30.78358208955224
3247,INS,INS GmbH,DE,RIPE,30.746268656716417
3245,DIGSYS-AS,Digital Systems Ltd,BG,RIPE,30.708955223880597
6,BULL-HN,"ATOS IT Solutions and Services, Inc.",US,ARIN,30.708955223880597
2472,FR-DOM-GUYANE,Renater,EU,RIPE,30.634328358208954
1659,ERX-TANET-ASN1,"Education Bureau, Kaohsiung City Government, Taiwan",TW,APNIC,30.597014925373134
3680,NOVELL,"Novell, Inc.",US,ARIN,30.597014925373134
2470,FR-LAREUNION,Renater,EU,RIPE,30.597014925373134
1408,CCB-AS,CCBill,US,ARIN,30.52238805970149
90,SUN-AS,Oracle Corporation,US,ARIN,30.52238805970149
1216,ORACLE-EUROPE-AS,Oracle Corporation,US,ARIN,30.52238805970149
2199,FR-DOM-MARTINIQUE,Renater,EU,RIPE,30.44776119402985
1730,KATZ-GROUP-CANADA,Rexall Pharmacy Group Ltd.,CA,ARIN,30.44776119402985
2579,AS2579,Nokia of America Corporation,US,ARIN,30.44776119402985
260,XCONNECT24,GTT,US,ARIN,30.41044776119403
49,US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY,US National Institute of Standards & Technology,US,ARIN,30.37313432835821
2111,Skynet-AS,SkyNet Group Ltd.,BG,RIPE,30.33582089552239
1248,HERE,HERE Global BV,NL,RIPE,30.33582089552239
3242,ASN-ITNET,ITnet S.r.l.,IT,RIPE,30.261194029850746
2549,,Universidad de Guadalajara,MX,LACNIC,30.223880597014926
2527,So-net,Sony Network Communications Inc.,JP,JPNIC,30.186567164179106
3316,RELARN,"Joint-stock company ""Internet Exchange ""MSK-IX",RU,RIPE,30.111940298507463
3449,,Universidad Nacional de Buenos Aires,AR,LACNIC,30.03731343283582
2198,FR-TOM-NOUVELLE-CALEDONIE,Renater,EU,RIPE,29.776119402985074
3299,,Societe Generale S.A.,FR,RIPE,29.66417910447761
3457,ORACLE-4,Oracle Corporation,US,ARIN,29.58955223880597
2611,BELNET,BELNET,BE,RIPE,29.55223880597015
3323,NTUA,National Technical University of Athens,GR,RIPE,29.55223880597015
3677,UIOWA-EXTERNAL,University of Iowa,US,ARIN,29.402985074626866
2518,BIGLOBE,BIGLOBE Inc.,JP,JPNIC,29.365671641791046
3296,SOCIETE-GENERALE,Societe Generale S.A.,FR,RIPE,29.365671641791046
1931,HPES,Hewlett-Packard Company,US,ARIN,29.291044776119403
3298,,Societe Generale S.A.,FR,RIPE,29.291044776119403
3955,WANG-US-1,Compucom Systems,US,ARIN,29.253731343283583
2706,HKBNES-AS-AP,HKBN Enterprise Solutions HK Limited,HK,APNIC,29.253731343283583
1887,NASK-ACADEMIC,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA INSTYTUT BADAWCZY,PL,RIPE,29.17910447761194
3598,MICROSOFT-CORP-AS,Microsoft Corporation,US,ARIN,29.104477611940297
1625,CORESPACE,"CoreSpace, Inc.",US,ARIN,28.880597014925375
1420,STL-C9D,"STL OFFICE SOLUTIONS, INC.",US,ARIN,28.880597014925375
3725,ASN-SONY,Sony Pictures Technologies Inc.,US,ARIN,28.880597014925375
2697,ERX-ERNET-AS,ERNET India,IN,APNIC,28.880597014925375
288,ESA,European Space Agency (ESA),DE,RIPE,28.76865671641791
1628,COMMDNS,Community DNS Ltd.,US,ARIN,28.73134328358209
2515,JPNIC,Japan Network Information Center,JP,JPNIC,28.65671641791045
3484,,Instituto Politecnico Nacional,MX,LACNIC,28.619402985074625
3411,SMH-ASN,St. Michael's Hospital,CA,ARIN,28.619402985074625
2607,SANET,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,SK,RIPE,28.582089552238806
3421,ATTIS-ASN3421,AT&T Corp.,US,ARIN,28.544776119402986
3624,digineo-lwlcom,Digineo GmbH,DE,RIPE,28.470149253731343
3175,CITYTELECOM-MSK,Filanco LLC,RU,RIPE,28.35820895522388
2118,RELCOM-AS,Reliable Communications s.r.o.,CZ,RIPE,28.32089552238806
3800,AS3800,"Talent House, Inc.",US,ARIN,28.28358208955224
2030,TBCASN2,The Boeing Company,US,ARIN,28.28358208955224
3233,ICI-ROTLD,Institutul National de Cercetare-Dezvoltare in informatica - ICI Bucuresti,RO,RIPE,28.246268656716417
3300,BT,British Telecommunications PLC,GB,RIPE,28.246268656716417
2716,,Universidade Federal do Rio Grande do Sul,BR,LACNIC,28.134328358208954
1261,NATINST-AS-AS,National Instruments Corporation,US,ARIN,28.097014925373134
1828,UNITAS,Unitas Global LLC,US,ARIN,27.98507462686567
3180,SMARTMS-AS,Smart Media Systems Ltd.,RU,RIPE,27.94776119402985
3640,,CICESE,MX,LACNIC,27.91044776119403
3454,,Universidad Autonoma de Nuevo Leon,MX,LACNIC,27.87313432835821
3225,Gulfnet-Kuwait,GULFNET COMMUNICATIONS CO. WLL,KW,RIPE,27.87313432835821
3254,LuckyNet,Lucky Net Ltd,UA,RIPE,27.87313432835821
3548,,Centro de Investigacion y de EstudiosAvanzados del,MX,LACNIC,27.79850746268657
