Country,Ranking_Score
US,13.06246397799749
EU,8.322507526537969
BR,5.479959430427168
PM,5.281038620449023
AI,4.684023695075889
GU,3.6291855130883643
RU,3.6280635361825917
CK,2.799695336866934
DZ,2.6283959017986187
DE,2.319357064446008
GR,2.3010993332302667
MX,2.268321846406976
GB,2.2607930547272224
UA,2.211640621961908
CA,2.1510171827674687
FJ,2.136281347467736
IN,2.0818712046072814
AD,2.0720833965684267
JP,2.021925043150441
CU,2.0122700902027923
PL,1.946526703175175
MO,1.8611820979205467
AU,1.8518444156894303
NL,1.8517167405644162
ID,1.8274470391567383
KY,1.8005477695623373
TN,1.7911320937363926
TW,1.7890849586836275
PT,1.784803907599957
HK,1.7588359022146687
BN,1.6577924782624933
UY,1.6327246394181332
AT,1.6233073152310813
EE,1.5493900677085053
CH,1.538723070165671
FR,1.5122320380488343
IT,1.5089343167011848
JM,1.4926246310498257
TH,1.4750168341273744
BG,1.4314475506460838
KR,1.4068681449921576
PE,1.3843944351555748
NU,1.3736444050771515
MK,1.3646033148629462
SE,1.3498452195039092
RO,1.3401404313270535
MC,1.3363309722413306
FI,1.3306406630028753
LU,1.2932445745895733
CN,1.269689648483221
PH,1.2552980021941145
BM,1.2213044662966015
LK,1.1633405007652038
SG,1.116278118288184
LB,1.1154455817761701
IS,1.1079655170003286
IE,1.0845738291730787
BE,1.0735120940804572
TR,1.071502578303095
AR,1.0693779957785985
IL,1.0207251038524077
GI,0.9987863786960222
BH,0.9973175540500482
ES,0.9879116099188144
ZA,0.96661770347462
SA,0.9657906016029072
RS,0.9629740061216289
BS,0.9609082131393777
DJ,0.9526804114937997
HU,0.9431335944492614
SI,0.9421104050027884
BD,0.9352132435099466
LV,0.9174637960041779
LA,0.9148178717873957
NZ,0.9145325405092792
CZ,0.9092362101185316
MY,0.9079665225142928
DK,0.905588976631524
PK,0.89497613984359
CY,0.8600701691715198
CL,0.8495820909796294
IQ,0.8495493412682602
LT,0.8352740417254803
VA,0.8325996289577486
NA,0.823785747598689
NO,0.8106838658676268
LS,0.7969841470212371
BZ,0.7901270201937821
IM,0.7756162407576297
GF,0.7661132473146952
EG,0.7645202715763382
BY,0.7513473752409214
MV,0.7440706865403447
AE,0.7337834754926705
KM,0.7299876886592411
CR,0.7289515343788516
JO,0.7289132091845248
BQ,0.7287998144788743
HR,0.7282220516378081
SK,0.7242843689675496
OM,0.7192719997844094
KW,0.716221940757109
MG,0.7129730162264795
PR,0.712114232745657
Sweden,0.7114813999360432
ET,0.7101430980609639
VN,0.7100742560243527
TT,0.7036446580175242
MD,0.6905859464201385
ZM,0.6885432903902042
BA,0.685896281209178
IR,0.6763240370037128
PA,0.6762055716462224
AF,0.6749149231146737
KH,0.6694766219001903
AL,0.6655186985579564
LI,0.6555112506823118
CF,0.6553608229875993
VE,0.6418563955855051
KZ,0.6347098779630772
CO,0.6305895094516962
MT,0.6301880848064154
GP,0.6254541698047821
AO,0.6214866437764821
JE,0.6005785479142347
SZ,0.5992229529913864
MN,0.5900830589994058
GE,0.5891093961596239
SC,0.5832906268120319
GG,0.5831097056766912
BW,0.5821197120293556
KE,0.5765085013235967
MU,0.5696819010840818
VU,0.5544468335884013
GT,0.5527137192494244
IO,0.5422326502997697
RW,0.5381972762340537
BF,0.537750020920769
AG,0.5357342102563303
TJ,0.5249142357569386
NG,0.5228249902874764
MM,0.5145029266308442
NP,0.5097606162129354
RE,0.5061070916443157
SY,0.5049192174639489
SD,0.5015302301568278
UG,0.4987377711694453
TZ,0.4902949413073645
AM,0.49002150229561137
KN,0.4874503752264053
MZ,0.48423602315326353
GH,0.4596056444529207
NI,0.4595295465832932
YE,0.4594653005995396
FO,0.45251269075131806
AZ,0.44025517861924196
ME,0.4377223767443627
VG,0.4331888629042979
EC,0.42862610768995923
TG,0.42644919468040393
KG,0.42308013191532734
PF,0.42215186776371866
SO,0.41673011666246107
PS,0.41174903008004743
TV,0.4116356353743967
QA,0.41153880521732894
CD,0.40945099198784934
HN,0.4083661953195428
PY,0.3991940716922847
SM,0.391878362393109
VI,0.38913576184458304
SV,0.38843194428206496
MW,0.3794166838266402
UZ,0.3793087235414475
CM,0.37715212070409154
FM,0.3743222025385758
TL,0.37078846681054217
MF,0.3661817185099873
BT,0.3656226493683819
MR,0.35566548612066534
NE,0.35456492955728813
BJ,0.34560342353612533
ZW,0.34541120658231217
DO,0.344622227643499
BO,0.3420003898709437
CG,0.3414707695823972
NR,0.33819664388312165
AS,0.3370087697027549
PW,0.3331656125908517
BI,0.3305103296593153
GY,0.3288682856741665
LY,0.3288682856741664
MA,0.31807251871404174
CI,0.3112712988007474
SN,0.3079231385125121
BB,0.30444683358840124
GD,0.3044468335884012
WS,0.3044468335884012
PG,0.30415733674657625
SS,0.3010141874727853
KI,0.29969533686693395
TO,0.2915548528383456
TD,0.28963327428239394
CW,0.282740971479286
NC,0.2783274306033266
VC,0.2771954633371203
SL,0.2754485200151481
AW,0.2728981364204351
SB,0.26475765239184673
SR,0.2647576523918467
ML,0.26356977821147987
MQ,0.26356977821147987
HT,0.26238190403111306
BL,0.26238190403111306
LC,0.25661716836325826
LR,0.2472888101543031
DM,0.24491306179356942
MH,0.24372518761320264
AX,0.24372518761320264
GM,0.22478893662448945
TC,0.19827127074879333
TM,0.1982712707487933
GA,0.1877550383594713
YT,0.1877550383594713
MP,0.16909832194156085
GN,0.1609578379129724
ER,0.13178488910573993
GW,0.13178488910573993
ST,0.1131281726878295
GL,0.03850130701618771
